[00404DA2],0.003021,0.003021,0.000099,0.000099,chanfilter,,0
[00404DAC],0.003818,0.003818,0.000125,0.000125,chanfilter,,0
[00404DB3],0.007930,0.007930,0.000260,0.000260,chanfilter,,0
[00404DB5],0.014037,0.014037,0.000461,0.000461,chanfilter,,0
[00404DBE],0.003022,0.003022,0.000099,0.000099,chanfilter,,0
[00404DC5],0.018025,0.018025,0.000591,0.000591,chanfilter,,0
[00404DC9],0.006081,0.006081,0.000200,0.000200,chanfilter,,0
[00404DCE],0.016929,0.016929,0.000556,0.000556,chanfilter,,0
[00404DD9],0.005039,0.005039,0.000165,0.000165,chanfilter,,0
[00404DE5],0.009174,0.009174,0.000301,0.000301,chanfilter,,0
[00404DEC],0.010075,0.010075,0.000331,0.000331,chanfilter,,0
[00404DF1],0.006103,0.006103,0.000200,0.000200,chanfilter,,0
[00404DF4],0.036939,0.036939,0.001212,0.001212,chanfilter,,0
[00404DF8],0.002983,0.002983,0.000098,0.000098,chanfilter,,0
[00404DF9],0.017048,0.017048,0.000559,0.000559,chanfilter,,0
[00404DFB],0.003032,0.003032,0.000099,0.000099,chanfilter,,0
[00404DFF],0.074226,0.074226,0.002436,0.002436,chanfilter,,0
[00404E02],0.005067,0.005067,0.000166,0.000166,chanfilter,,0
[00404E07],0.029117,0.029117,0.000955,0.000955,chanfilter,,0
[00404E09],0.002963,0.002963,0.000097,0.000097,chanfilter,,0
[00404E0C],0.002964,0.002964,0.000097,0.000097,chanfilter,,0
[00404E11],0.023968,0.023968,0.000786,0.000786,chanfilter,,0
[00404E13],0.003011,0.003011,0.000099,0.000099,chanfilter,,0
[00404E16],0.015088,0.015088,0.000495,0.000495,chanfilter,,0
[00404E1B],0.006043,0.006043,0.000198,0.000198,chanfilter,,0
[00404E20],0.002977,0.002977,0.000098,0.000098,chanfilter,,0
[00404E22],0.006071,0.006071,0.000199,0.000199,chanfilter,,0
[00404E25],0.012016,0.012016,0.000394,0.000394,chanfilter,,0
[00404E28],0.003033,0.003033,0.000100,0.000100,chanfilter,,0
[00404E2A],0.008084,0.008084,0.000265,0.000265,chanfilter,,0
[00404E2F],0.014815,0.014815,0.000486,0.000486,chanfilter,,0
[00404E31],0.009059,0.009059,0.000297,0.000297,chanfilter,,0
[00404E34],0.018083,0.018083,0.000593,0.000593,chanfilter,,0
[00404E3E],0.600542,0.600542,0.019706,0.019706,chanfilter,,0
[00404E41],0.045109,0.045109,0.001480,0.001480,chanfilter,,0
[00404E44],0.079099,0.079099,0.002596,0.002596,chanfilter,,0
[00404E47],0.062138,0.062138,0.002039,0.002039,chanfilter,,0
[00404E4C],0.017049,0.017049,0.000559,0.000559,chanfilter,,0
[00404E4F],0.012008,0.012008,0.000394,0.000394,chanfilter,,0
[00404E52],0.011941,0.011941,0.000392,0.000392,chanfilter,,0
[00404E55],0.038134,0.038134,0.001251,0.001251,chanfilter,,0
[00404E56],0.003052,0.003052,0.000100,0.000100,chanfilter,,0
[00404E57],0.003026,0.003026,0.000099,0.000099,chanfilter,,0
[00404E64],0.004985,0.004985,0.000164,0.000164,chanfilter,,0
[00404E6B],0.000000,0.084770,0.000000,0.002782,chanfilter,,0
[00404E71],0.003091,0.003091,0.000101,0.000101,chanfilter,,0
[00404E7F],0.006034,0.006034,0.000198,0.000198,chanfilter,,0
[00404E86],0.006047,0.036114,0.000198,0.001185,chanfilter,,0
[00404EAC],0.000000,0.016074,0.000000,0.000527,chanfilter,,0
[00404ECE],0.000000,0.010930,0.000000,0.000359,chanfilter,,0
[00404F62],0.003006,0.003006,0.000099,0.000099,chanfilter,,0
[00404F65],0.010042,0.010042,0.000330,0.000330,chanfilter,,0
[00404F6C],0.006000,0.006000,0.000197,0.000197,chanfilter,,0
[00404F89],0.005992,0.038972,0.000197,0.001279,chanfilter,,0
[00404F91],0.003033,0.003033,0.000100,0.000100,chanfilter,,0
[00404F96],0.000000,0.010082,0.000000,0.000331,chanfilter,,0
[00404F9F],0.006032,0.006032,0.000198,0.000198,chanfilter,,0
[00404FA4],0.002940,0.002940,0.000096,0.000096,chanfilter,,0
[00404FC3],0.005039,0.005039,0.000165,0.000165,chanfilter,,0
[00405001],0.003044,0.003044,0.000100,0.000100,chanfilter,,0
[0040500A],0.004982,0.004982,0.000163,0.000163,chanfilter,,0
[0040501B],0.006013,0.006013,0.000197,0.000197,chanfilter,,0
[00405185],0.003043,0.003043,0.000100,0.000100,chanfilter,,0
[00405190],0.005007,0.005007,0.000164,0.000164,chanfilter,,0
[004051B8],0.033040,0.033040,0.001084,0.001084,chanfilter,,0
[004051B9],0.002933,0.002933,0.000096,0.000096,chanfilter,,0
[004051BE],0.012038,0.012038,0.000395,0.000395,chanfilter,,0
[004051E4],0.002893,0.002893,0.000095,0.000095,chanfilter,,0
[00405244],0.120873,0.120873,0.003966,0.003966,chanfilter,,0
[00405245],0.009201,0.009201,0.000302,0.000302,chanfilter,,0
[00405247],0.035120,0.035120,0.001152,0.001152,chanfilter,,0
[0040524A],0.023877,0.023877,0.000784,0.000784,chanfilter,,0
[00405250],0.056068,0.056068,0.001840,0.001840,chanfilter,,0
[00405253],0.043166,0.043166,0.001416,0.001416,chanfilter,,0
[00405255],0.070869,0.070869,0.002326,0.002326,chanfilter,,0
[00405258],0.008048,0.008048,0.000264,0.000264,chanfilter,,0
[0040525B],0.006041,0.006041,0.000198,0.000198,chanfilter,,0
[0040525E],0.089728,0.089728,0.002944,0.002944,chanfilter,,0
[0040525F],0.006042,0.006042,0.000198,0.000198,chanfilter,,0
[00405260],0.067265,0.067265,0.002207,0.002207,chanfilter,,0
[00405280],0.002990,0.002990,0.000098,0.000098,chanfilter,,0
[0040528C],0.008991,0.008991,0.000295,0.000295,chanfilter,,0
[00405294],0.006055,0.006055,0.000199,0.000199,chanfilter,,0
[004052A0],0.006062,0.006062,0.000199,0.000199,chanfilter,,0
[00405310],0.006075,0.006075,0.000199,0.000199,chanfilter,,0
[00405311],0.003025,0.003025,0.000099,0.000099,chanfilter,,0
